Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10771,651,0,5512,1116,981,14936,0,35381951,140281899,370
1,10768,658,0,5552,1109,975,14936,0,35381944,140281903,370
1,10691,668,0,5622,1110,980,15325,0,35381936,140281907,370
1,10824,675,0,5685,1106,981,15734,0,35381921,140281914,370
1,10721,682,0,5738,1118,977,16225,0,35381904,140281919,370
1,10922,690,0,5775,1102,993,16589,0,35381887,140281922,370
1,11202,698,0,5816,1119,988,17075,0,35381871,140281926,370
1,11355,698,0,5858,1134,1011,17314,0,35381854,140281927,370
1,11483,699,0,5893,1122,995,17685,0,35381837,140281927,370
1,11567,698,0,5930,1119,1008,18064,0,35381819,140281927,370
1,11947,695,0,5967,1128,986,18611,0,35381802,140281922,370
1,11411,697,0,5994,1124,985,18793,0,35381786,140281919,370
1,11682,701,0,6020,1102,972,19326,0,35381769,140281914,370
1,11355,710,0,6044,1114,987,19935,0,35381752,140281906,370
1,11716,720,0,6063,1097,979,20119,0,35381737,140281897,370
1,11406,722,0,6084,1093,984,20592,0,35381722,140281887,370
1,11857,728,0,6111,1075,978,20924,0,35381706,140281876,370
1,11583,740,0,6132,1072,992,21336,0,35381691,140281862,370
1,11860,742,0,6153,1062,987,21574,0,35381677,140281849,370
1,11794,743,0,6167,1060,979,21922,0,35381664,140281834,370
1,11976,750,0,6171,1056,971,22099,0,35381651,140281817,370
1,12024,760,0,6171,1057,981,22338,0,35381637,140281802,370
1,12036,770,0,6171,1052,979,22468,0,35381624,140281786,370
1,12138,776,0,6172,1049,985,22640,0,35381612,140281767,370
1,12247,781,0,6175,1042,979,22823,0,35381599,140281751,370
1,12338,789,0,6183,1034,987,22967,0,35381587,140281731,370
1,12448,795,0,6194,1028,992,23133,0,35381576,140281712,370
1,12541,799,0,6207,1021,1015,23264,0,35381564,140281692,370
1,12589,800,0,6221,1012,1032,23359,0,35381552,140281672,360
1,12335,792,0,6231,1018,1045,23480,0,35381541,140281652,360
1,11874,774,0,6202,1016,1061,23527,0,35381531,140281632,360
1,11630,759,0,6095,1023,1059,23584,0,35381519,140281611,360
1,10273,735,0,5951,1027,1062,23632,0,35381509,140281592,360
1,9158,710,0,5735,1035,1042,23637,0,35381499,140281572,360
1,10405,694,0,5485,1039,1046,23654,0,35381487,140281552,360
1,10380,679,0,5280,1057,1055,23795,0,35381479,140281534,360
1,9781,663,0,5079,1072,1071,23849,0,35381471,140281516,360
1,9254,640,0,4915,1086,1091,24020,0,35381462,140281497,360
1,9122,612,0,4795,1097,1089,24103,0,35381456,140281481,360
1,8529,576,0,4675,1101,1089,24282,0,35381449,140281462,360
1,8203,543,0,4576,1092,1066,24545,0,35381444,140281444,360
1,8538,517,0,4500,1084,1058,25029,0,35381441,140281427,350
1,8500,494,0,4415,1086,1052,25679,0,35381441,140281411,360
1,8137,479,0,4325,1079,1048,26227,0,35381441,140281394,360
1,7917,460,0,4244,1084,1037,26885,0,35381442,140281379,360
1,7695,442,0,4145,1089,1030,27448,0,35381446,140281364,360
1,7743,439,0,4046,1090,1014,27872,0,35381449,140281349,360
1,8031,435,0,3995,1085,1010,28571,0,35381452,140281337,360
1,7977,432,0,4011,1089,985,29469,0,35381459,140281326,360
1,7955,438,0,4105,1083,985,30011,0,35381466,140281314,360
1,7951,447,0,4232,1084,986,30992,0,35381474,140281304,360
1,7761,456,0,4425,1083,992,31697,0,35381484,140281296,360
1,7851,458,0,4608,1081,990,32446,0,35381494,140281289,360
1,7792,461,0,4731,1084,985,33086,0,35381504,140281282,360
1,7692,466,0,4838,1085,995,33731,0,35381516,140281277,360
1,7801,472,0,4917,1080,989,34349,0,35381526,140281274,360
1,7892,472,0,4967,1075,989,35013,0,35381537,140281274,360
1,7994,475,0,5010,1075,974,35634,0,35381549,140281274,360
1,8032,483,0,5043,1071,982,170,0,35381561,140281276,360
1,8075,491,0,5066,1067,985,895,0,35381572,140281279,360
1,8103,498,0,5091,1068,992,1492,0,35381582,140281284,360
1,8052,501,0,5118,1071,991,1928,0,35381594,140281289,360
1,8134,504,0,5140,1075,983,2313,0,35381606,140281297,360
1,8296,508,0,5166,1073,976,2793,0,35381616,140281306,360
1,8468,515,0,5195,1073,971,3278,0,35381626,140281314,360
1,8581,526,0,5222,1077,974,3698,0,35381634,140281326,360
1,8759,536,0,5254,1078,980,4129,0,35381642,140281337,360
1,8846,544,0,5289,1069,978,4559,0,35381651,140281349,360
1,8943,550,0,5321,1069,979,5117,0,35381659,140281364,360
1,9036,559,0,5359,1064,978,5461,0,35381666,140281377,360
1,9225,568,0,5400,1056,982,5840,0,35381672,140281392,360
1,9286,574,0,5437,1043,978,6299,0,35381677,140281409,360
1,9386,581,0,5486,1036,972,6696,0,35381682,140281426,360
1,9475,590,0,5542,1023,973,6964,0,35381687,140281442,360
1,9558,601,0,5592,1014,970,7270,0,35381691,140281459,360
1,9689,610,0,5652,1004,978,7486,0,35381694,140281476,360
1,9847,620,0,5713,1001,972,7685,0,35381697,140281494,360
1,9995,629,0,5767,993,975,7757,0,35381701,140281512,360
1,10141,637,0,5830,983,988,7827,0,35381704,140281531,360
1,10273,649,0,5891,971,1016,7808,0,35381707,140281551,360
1,10366,649,0,5938,955,1050,7811,0,35381711,140281569,360
1,9990,632,0,5984,941,1076,7794,0,35381714,140281587,360
1,9402,606,0,5967,934,1080,7805,0,35381717,140281607,360
1,8602,574,0,5873,934,1068,7719,0,35381721,140281627,360
1,7937,545,0,5686,935,1062,7476,0,35381726,140281646,370
1,8061,527,0,5440,939,1065,7195,0,35381731,140281661,360
1,7812,505,0,5197,940,1083,6769,0,35381737,140281676,370
1,7571,477,0,4937,940,1070,6376,0,35381744,140281691,370
1,7307,447,0,4734,936,1056,6025,0,35381751,140281704,370
1,7023,423,0,4590,929,1032,5655,0,35381757,140281716,370
1,7367,418,0,4450,922,1031,5218,0,35381766,140281726,370
1,7550,418,0,4384,919,1019,4703,0,35381774,140281734,370
1,7498,406,0,4390,920,1009,4114,0,35381782,140281742,370
1,7455,400,0,4461,923,1000,3552,0,35381792,140281747,370
1,7134,402,0,4593,927,997,2849,0,35381802,140281752,370
1,7189,401,0,4732,933,1009,1925,0,35381812,140281754,370
1,7293,401,0,4865,936,994,965,0,35381824,140281754,370
1,7072,399,0,4962,929,1002,174,0,35381836,140281754,370
1,7628,407,0,5020,930,993,35599,0,35381846,140281752,370
1,7242,419,0,5064,928,988,34999,0,35381856,140281749,370
1,7486,417,0,5097,930,985,34309,0,35381864,140281746,370
