Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10899,653,0,6076,1132,995,14008,0,3.538195916198108E7,1.402819067215281E8,350
1,10970,652,0,6130,1130,988,14311,0,35381966,140281901,350
1,11033,652,0,6175,1136,973,14819,0,35381951,140281909,350
1,11301,662,0,6210,1124,980,15195,0,35381936,140281917,350
1,11191,673,0,6246,1134,975,15700,0,35381921,140281924,350
1,11142,677,0,6271,1119,990,16204,0,35381904,140281927,350
1,11288,685,0,6293,1109,984,16808,0,35381886,140281929,350
1,11424,691,0,6315,1115,1006,17242,0,35381869,140281931,350
1,11365,690,0,6333,1119,996,17705,0,35381852,140281931,350
1,11378,690,0,6352,1102,1000,17945,0,35381834,140281931,350
1,11684,689,0,6375,1103,993,18573,0,35381817,140281927,360
1,11299,692,0,6397,1111,989,18873,0,35381801,140281922,350
1,11301,694,0,6415,1096,985,19135,0,35381784,140281917,350
1,11378,699,0,6436,1110,974,19674,0,35381767,140281911,350
1,11666,706,0,6457,1102,978,19981,0,35381752,140281902,350
1,11507,716,0,6471,1104,977,20315,0,35381736,140281892,350
1,12096,725,0,6486,1098,981,20624,0,35381721,140281882,350
1,11718,730,0,6498,1098,976,20989,0,35381706,140281869,350
1,12101,738,0,6504,1077,975,21256,0,35381691,140281856,350
1,11949,748,0,6501,1078,978,21752,0,35381677,140281841,350
1,12106,757,0,6490,1065,978,21930,0,35381662,140281826,350
1,12094,763,0,6480,1057,982,22232,0,35381649,140281809,350
1,12197,771,0,6469,1046,979,22469,0,35381636,140281791,350
1,12247,778,0,6464,1041,980,22715,0,35381624,140281774,350
1,12358,784,0,6463,1037,981,22870,0,35381612,140281756,340
1,12442,792,0,6472,1032,978,23050,0,35381599,140281736,340
1,12536,798,0,6483,1028,990,23148,0,35381587,140281717,340
1,12634,805,0,6493,1026,1002,23253,0,35381576,140281697,340
1,12736,809,0,6504,1025,1029,23342,0,35381564,140281677,340
1,12591,802,0,6512,1023,1050,23419,0,35381552,140281657,340
1,11700,788,0,6494,1031,1067,23533,0,35381541,140281637,340
1,10589,766,0,6402,1040,1061,23567,0,35381531,140281617,340
1,8513,739,0,6242,1047,1059,23616,0,35381519,140281596,340
1,10155,719,0,6063,1057,1047,23680,0,35381509,140281577,340
1,10314,701,0,5808,1067,1052,23757,0,35381499,140281557,340
1,10467,681,0,5545,1075,1046,23870,0,35381491,140281539,340
1,9773,665,0,5351,1079,1050,24033,0,35381482,140281519,340
1,9483,648,0,5153,1082,1061,24256,0,35381476,140281501,340
1,9168,629,0,5007,1082,1069,24472,0,35381469,140281482,340
1,8547,605,0,4865,1081,1071,24757,0,35381464,140281464,340
1,7807,578,0,4753,1082,1066,25093,0,35381461,140281446,340
1,7904,554,0,4671,1080,1072,25489,0,35381457,140281427,330
1,8069,532,0,4589,1084,1072,25895,0,35381456,140281411,330
1,7854,504,0,4511,1082,1062,26265,0,35381456,140281394,330
1,7493,477,0,4447,1082,1044,26687,0,35381456,140281377,330
1,7809,460,0,4370,1084,1034,27167,0,35381457,140281362,330
1,7884,446,0,4320,1078,1026,27830,0,35381462,140281349,330
1,7914,435,0,4335,1078,1010,28408,0,35381466,140281336,330
1,7939,427,0,4418,1079,1008,29118,0,35381472,140281324,330
1,7941,426,0,4554,1080,1002,29705,0,35381479,140281312,330
1,8087,425,0,4733,1076,997,30408,0,35381486,140281302,330
1,7845,421,0,4885,1084,982,31359,0,35381494,140281296,330
1,7998,427,0,5020,1081,967,31799,0,35381504,140281287,330
1,7968,436,0,5113,1082,970,32613,0,35381514,140281281,330
1,7819,448,0,5166,1082,967,33306,0,35381524,140281276,330
1,7980,460,0,5207,1080,977,34010,0,35381536,140281272,330
1,8009,469,0,5229,1077,976,34760,0,35381547,140281271,330
1,8203,478,0,5240,1079,976,35440,0,35381557,140281271,320
1,8145,486,0,5251,1077,975,3,0,35381571,140281272,330
1,8158,495,0,5265,1075,974,579,0,35381582,140281274,330
1,8232,505,0,5281,1072,980,1160,0,35381594,140281277,330
1,8386,513,0,5301,1070,973,1697,0,35381606,140281284,330
1,8486,520,0,5324,1070,981,2157,0,35381617,140281289,330
1,8592,530,0,5347,1067,978,2671,0,35381629,140281297,330
1,8805,538,0,5372,1070,986,3114,0,35381639,140281307,330
1,8830,541,0,5401,1072,979,3539,0,35381649,140281317,330
1,8931,549,0,5430,1079,976,3910,0,35381659,140281327,330
1,9078,557,0,5465,1075,979,4261,0,35381669,140281339,330
1,9095,566,0,5504,1081,974,4709,0,35381677,140281352,330
1,9345,573,0,5541,1083,984,5011,0,35381686,140281366,330
1,9408,582,0,5587,1080,978,5461,0,35381692,140281382,330
1,9481,588,0,5636,1070,983,5837,0,35381697,140281399,320
1,9546,593,0,5682,1062,979,6306,0,35381702,140281414,320
1,9563,602,0,5737,1047,980,6613,0,35381709,140281432,330
1,9592,608,0,5791,1030,984,7017,0,35381712,140281449,330
1,9710,614,0,5837,1016,979,7453,0,35381714,140281467,330
1,9847,621,0,5889,1006,978,7728,0,35381717,140281486,330
1,9960,628,0,5940,999,977,7916,0,35381719,140281504,330
1,10106,637,0,5983,988,985,8023,0,35381722,140281522,330
1,10235,645,0,6033,972,1008,8081,0,35381724,140281541,330
1,10346,648,0,6082,958,1037,8111,0,35381727,140281561,330
1,10073,640,0,6119,944,1064,8082,0,35381729,140281581,330
1,9474,619,0,6124,932,1078,8069,0,35381732,140281601,330
1,8870,590,0,6044,928,1076,8022,0,35381736,140281619,330
1,8029,560,0,5912,928,1072,7855,0,35381739,140281639,330
1,7584,535,0,5698,932,1079,7533,0,35381744,140281656,330
1,7339,511,0,5481,932,1076,7152,0,35381749,140281671,340
1,7310,479,0,5231,934,1073,6762,0,35381756,140281686,340
1,7186,451,0,5028,933,1049,6329,0,35381762,140281699,340
1,7116,431,0,4885,936,1038,5930,0,35381769,140281711,340
1,7036,414,0,4736,932,1023,5371,0,35381776,140281721,340
1,7257,404,0,4625,932,1020,4900,0,35381784,140281731,340
1,7290,397,0,4593,927,1014,4233,0,35381794,140281737,340
1,7301,390,0,4621,929,999,3657,0,35381802,140281744,340
1,7011,385,0,4708,929,999,2969,0,35381812,140281749,340
1,7038,393,0,4845,926,991,2348,0,35381822,140281752,340
1,7067,398,0,4963,926,989,1545,0,35381832,140281754,340
1,7230,398,0,5062,930,975,757,0,35381842,140281754,340
1,7189,408,0,5128,927,980,35873,0,35381854,140281752,340
1,7236,417,0,5168,925,988,35279,0,35381862,140281751,340
1,7147,422,0,5202,931,987,34703,0,35381872,140281747,340
1,7214,425,0,5228,932,984,33841,0,35381882,140281741,340
1,7258,431,0,5249,931,977,33203,0,35381892,140281734,340
1,7316,438,0,5270,931,979,32570,0,35381901,140281726,340
1,7503,446,0,5290,931,980,31955,0,35381907,140281717,340
1,7650,454,0,5305,930,981,31370,0,35381916,140281707,340
1,7653,459,0,5323,929,974,30868,0,35381921,140281696,340
1,7763,467,0,5338,930,972,30340,0,35381927,140281684,340
1,7953,478,0,5349,933,978,29758,0,35381931,140281671,340
1,8107,488,0,5361,934,979,29233,0,35381936,140281657,340
1,8092,494,0,5371,938,980,28740,0,35381937,140281644,340
1,8266,502,0,5381,942,971,28290,0,35381941,140281629,340
1,8371,511,0,5393,950,976,27789,0,35381941,140281614,340
1,8537,520,0,5411,955,968,27325,0,35381941,140281599,340
1,8540,530,0,5432,964,969,27005,0,35381941,140281582,340
1,8797,541,0,5459,970,965,26602,0,35381939,140281567,340
1,8895,554,0,5490,980,963,26329,0,35381937,140281551,340
1,9003,566,0,5519,984,965,26034,0,35381934,140281534,340
1,9253,580,0,5550,993,963,25870,0,35381931,140281517,340
1,9361,592,0,5585,998,969,25727,0,35381927,140281501,340
1,9558,604,0,5620,1003,962,25621,0,35381922,140281484,340
1,9760,616,0,5668,1001,968,25560,0,35381919,140281466,330
1,9928,629,0,5728,1010,971,25559,0,35381916,140281447,330
1,10114,641,0,5785,1006,969,25501,0,35381911,140281429,330
1,10295,648,0,5851,1006,968,25571,0,35381907,140281411,330
1,10509,661,0,5920,1008,968,25594,0,35381904,140281392,330
1,10647,674,0,5977,1009,973,25637,0,35381901,140281372,330
