"ALFANO ",,,,,,,,,,,,,,,
"Lap","Time Lap","Strip","Time Strip","Absolute Time","Time","RPM","Speed #2","Speed #3","K2","Ntc1","A. Long.","A. Lat.","GPS Lat.","GPS Long."
,"[1/100 s]",,"[1/100 s]","[1/10 s]","[1/10 s]",,"[Km/h]","[Km/h]","[°C]","[°C]","[G]","[G]",,
"1","36.41","1","36.41","0","0","6165","37.2","0","359.6","0","0.04","0.39","35.38201038521704","140.28199925511063"
"","","","","0.1","0.1","6053","36.5","0","359.2","0","-0.04","0.34","35.382056","140.281964"
"","","","","0.2","0.2","6066","36.7","0","357.9","0","-0.17","0.29","35.382047","140.281969"
"","","","","0.3","0.3","6001","37.4","0","357","0","-0.15","0.21","35.382039","140.281974"
"","","","","0.4","0.4","5982","37.8","0","358","0","-0.19","0.17","35.382031","140.281976"
"","","","","0.5","0.5","6044","38.5","0","361.1","0","-0.18","0.15","35.382021","140.281979"
"","","","","0.6","0.6","6167","39.2","0","367.1","0","-0.18","0.14","35.382012","140.281982"
"","","","","0.7","0.7","6280","39.9","0","375.4","0","-0.19","0.12","35.382002","140.281984"
"","","","","0.8","0.8","6327","40.5","0","383","0","-0.19","0.13","35.381992","140.281986"
"","","","","0.9","0.9","6485","41.3","0","391.5","0","-0.18","0.14","35.381982","140.281987"
"","","","","1","1","6558","42","0","398.8","0","-0.26","0.15","35.381972","140.281989"
"","","","","1.1","1.1","6702","42.6","0","404.4","0","-0.23","0.18","35.381962","140.281991"
"","","","","1.2","1.2","6829","43.7","0","410.1","0","-0.29","0.24","35.381951","140.281992"
"","","","","1.3","1.3","6987","44.6","0","414.5","0","-0.14","0.29","35.381941","140.281992"
"","","","","1.4","1.4","7171","45.4","0","417.5","0","-0.22","0.32","35.381929","140.281994"
"","","","","1.5","1.5","7327","46","0","420","0","-0.22","0.39","35.381917","140.281994"
"","","","","1.6","1.6","7591","46.6","0","421.4","0","-0.33","0.42","35.381907","140.281992"
"","","","","1.7","1.7","7677","47.8","0","422.3","0","-0.33","0.41","35.381896","140.281992"
"","","","","1.8","1.8","7877","49","0","423","0","-0.34","0.42","35.381884","140.281991"
"","","","","1.9","1.9","8073","50.1","0","423.7","0","-0.38","0.45","35.381872","140.281987"
"","","","","2","2","8246","51.3","0","424.7","0","-0.35","0.41","35.381861","140.281984"
"","","","","2.1","2.1","8525","52.8","0","426.3","0","-0.37","0.41","35.381849","140.281979"
"","","","","2.2","2.2","8591","54","0","429.1","0","-0.31","0.48","35.381836","140.281974"
"","","","","2.3","2.3","8764","55.1","0","432.9","0","-0.33","0.48","35.381824","140.281967"
"","","","","2.4","2.4","8932","56.4","0","438.6","0","-0.32","0.49","35.381812","140.281961"
"","","","","2.5","2.5","9140","57.4","0","445","0","-0.33","0.49","35.381801","140.281952"
"","","","","2.6","2.6","9366","58.6","0","450.9","0","-0.32","0.53","35.381787","140.281944"
"","","","","2.7","2.7","9540","59.8","0","457.7","0","-0.29","0.47","35.381776","140.281936"
"","","","","2.8","2.8","9688","60.8","0","464.5","0","-0.33","0.42","35.381764","140.281926"
"","","","","2.9","2.9","9956","61.8","0","470.6","0","-0.33","0.45","35.381751","140.281914"
"","","","","3","3","10008","63.1","0","478.3","0","-0.42","0.44","35.381739","140.281902"
"","","","","3.1","3.1","10360","64.3","0","486.6","0","-0.32","0.41","35.381727","140.281891"
"","","","","3.2","3.2","10489","65.8","0","493.8","0","-0.22","0.36","35.381716","140.281877"
"","","","","3.3","3.3","10500","67.1","0","501.8","0","-0.15","0.37","35.381704","140.281864"
"","","","","3.4","3.4","11027","67.2","0","509","0","-0.29","0.29","35.381692","140.281851"
"","","","","3.5","3.5","10844","67.8","0","514.2","0","-0.36","0.28","35.381681","140.281836"
"","","","","3.6","3.6","11115","69.4","0","518.9","0","-0.27","0.23","35.381671","140.281821"
"","","","","3.7","3.7","11109","70.7","0","522.4","0","-0.19","0.24","35.381659","140.281804"
"","","","","3.8","3.8","11248","71.2","0","524.5","0","-0.22","0.22","35.381647","140.281789"
"","","","","3.9","3.9","11352","71.9","0","526.1","0","-0.24","0.2","35.381636","140.281771"
"","","","","4","4","11483","72.8","0","527.2","0","-0.23","0.15","35.381626","140.281754"
"","","","","4.1","4.1","11583","73.6","0","528.1","0","-0.11","0.14","35.381614","140.281737"
"","","","","4.2","4.2","11698","74.4","0","529","0","-0.04","0.08","35.381604","140.281719"
"","","","","4.3","4.3","11794","74.7","0","530.5","0","0.16","0.04","35.381592","140.281701"
"","","","","4.4","4.4","11650","74.4","0","531.9","0","0.26","0.04","35.381582","140.281682"
"","","","","4.5","4.5","11450","73.7","0","528.6","0","0.44","0.06","35.381571","140.281664"
"","","","","4.6","4.6","11208","72.3","0","516","0","0.54","0.09","35.381559","140.281646"
"","","","","4.7","4.7","9762","70.6","0","498.8","0","0.49","0.18","35.381549","140.281627"
"","","","","4.8","4.8","8529","68.4","0","472.9","0","0.46","0.24","35.381539","140.281609"
"","","","","4.9","4.9","10016","66.8","0","443.3","0","0.47","0.31","35.381529","140.281592"
"","","","","5","5","10095","65.5","0","420.3","0","0.5","0.36","35.381519","140.281574"
"","","","","5.1","5.1","9649","63.4","0","398.4","0","0.51","0.43","35.381511","140.281557"
"","","","","5.2","5.2","9000","61.5","0","381","0","0.46","0.52","35.381501","140.281541"
"","","","","5.3","5.3","9212","60","0","368.3","0","0.58","0.56","35.381494","140.281524"
"","","","","5.4","5.4","8485","58.2","0","354.9","0","0.63","0.6","35.381486","140.281507"
"","","","","5.5","5.5","8656","55.9","0","343.1","0","0.71","0.63","35.381481","140.281491"
"","","","","5.6","5.6","8107","53.5","0","334.2","0","0.58","0.61","35.381474","140.281476"
"","","","","5.7","5.7","7334","51","0","324.9","0","0.66","0.62","35.381469","140.281459"
"","","","","5.8","5.8","7254","49.1","0","315.8","0","0.49","0.6","35.381466","140.281442"
"","","","","5.9","5.9","7235","47.1","0","308.4","0","0.53","0.6","35.381464","140.281427"
"","","","","6","6","7453","45","0","299.8","0","0.36","0.62","35.381462","140.281412"
"","","","","6.1","6.1","7252","43.7","0","291.1","0","0.4","0.65","35.381462","140.281397"
"","","","","6.2","6.2","7055","42.3","0","283.4","0","0.3","0.55","35.381462","140.281382"
"","","","","6.3","6.3","6915","40.9","0","274.5","0","0.19","0.68","35.381464","140.281369"
"","","","","6.4","6.4","6984","39.9","0","268.2","0","-0.01","0.67","35.381467","140.281356"
"","","","","6.5","6.5","7161","39.6","0","267.7","0","-0.08","0.62","35.381471","140.281344"
"","","","","6.6","6.6","7147","40","0","275.3","0","-0.1","0.67","35.381476","140.281332"
"","","","","6.7","6.7","7353","40.7","0","290.7","0","-0.13","0.71","35.381481","140.281322"
"","","","","6.8","6.8","7501","40.9","0","308.3","0","-0.11","0.63","35.381486","140.281312"
"","","","","6.9","6.9","7658","41.4","0","329.8","0","-0.22","0.63","35.381496","140.281302"
"","","","","7","7","7404","42","0","347.9","0","-0.28","0.71","35.381504","140.281296"
"","","","","7.1","7.1","7658","42.6","0","359","0","-0.2","0.67","35.381512","140.281287"
"","","","","7.2","7.2","7689","44.1","0","368.3","0","-0.17","0.67","35.381522","140.281282"
"","","","","7.3","7.3","7799","44.5","0","375.5","0","-0.03","0.7","35.381532","140.281277"
"","","","","7.4","7.4","7880","44.5","0","381","0","-0.2","0.7","35.381542","140.281272"
"","","","","7.5","7.5","7970","45.1","0","386.9","0","-0.17","0.66","35.381554","140.281271"
"","","","","7.6","7.6","8135","45.7","0","392.4","0","-0.19","0.63","35.381564","140.281269"
"","","","","7.7","7.7","8107","46.5","0","396.9","0","-0.12","0.72","35.381576","140.281271"
"","","","","7.8","7.8","8109","47","0","401.9","0","-0.01","0.68","35.381587","140.281272"
"","","","","7.9","7.9","8123","47.4","0","406.8","0","-0.04","0.71","35.381597","140.281276"
"","","","","8","8","8274","47.2","0","410.9","0","-0.08","0.73","35.381609","140.281281"
"","","","","8.1","8.1","8194","47.3","0","415.6","0","-0.18","0.81","35.381621","140.281286"
"","","","","8.2","8.2","8228","48","0","420.2","0","-0.1","0.77","35.381631","140.281292"
"","","","","8.3","8.3","8063","48.5","0","423.8","0","-0.17","0.75","35.381641","140.281301"
"","","","","8.4","8.4","8114","48.7","0","427.9","0","-0.16","0.72","35.381649","140.281309"
"","","","","8.5","8.5","8049","49.4","0","431.8","0","-0.32","0.66","35.381657","140.281321"
"","","","","8.6","8.6","8148","50.3","0","435.1","0","-0.24","0.54","35.381666","140.281331"
"","","","","8.7","8.7","8207","51.3","0","438.8","0","-0.31","0.47","35.381672","140.281344"
"","","","","8.8","8.8","8328","52.3","0","442.7","0","-0.22","0.44","35.381679","140.281357"
"","","","","8.9","8.9","8531","53.2","0","446.2","0","-0.32","0.37","35.381684","140.281371"
"","","","","9","9","8678","54.1","0","450.6","0","-0.27","0.34","35.381689","140.281386"
"","","","","9.1","9.1","8810","55.2","0","455.6","0","-0.3","0.31","35.381694","140.281401"
"","","","","9.2","9.2","8952","56.3","0","460.2","0","-0.26","0.26","35.381699","140.281416"
"","","","","9.3","9.3","9081","57.2","0","465.5","0","-0.29","0.18","35.381704","140.281432"
"","","","","9.4","9.4","9244","58.2","0","471","0","-0.27","0.12","35.381707","140.281449"
"","","","","9.5","9.5","9405","59.3","0","475.7","0","-0.29","0.08","35.381712","140.281466"
"","","","","9.6","9.6","9583","60.2","0","481.4","0","-0.3","0.02","35.381716","140.281482"
"","","","","9.7","9.7","9756","61.2","0","487.9","0","-0.31","-0.04","35.381719","140.281501"
"","","","","9.8","9.8","9902","62.4","0","494","0","-0.09","-0.09","35.381722","140.281517"
"","","","","9.9","9.9","10077","63.4","0","501.2","0","0.15","-0.21","35.381726","140.281536"
"","","","","10","10","10056","62.9","0","508.4","0","0.4","-0.31","35.381729","140.281556"
"","","","","10.1","10.1","9705","61.2","0","512.6","0","0.48","-0.43","35.381732","140.281574"
"","","","","10.2","10.2","9341","59.6","0","508.8","0","0.7","-0.52","35.381736","140.281594"
"","","","","10.3","10.3","8991","57.7","0","495.3","0","0.77","-0.56","35.381739","140.281612"
"","","","","10.4","10.4","8626","54.9","0","477.6","0","0.82","-0.51","35.381742","140.281629"
"","","","","10.5","10.5","8032","51.7","0","451.4","0","0.68","-0.48","35.381747","140.281646"
"","","","","10.6","10.6","7385","49.2","0","423.8","0","0.68","-0.48","35.381752","140.281662"
"","","","","10.7","10.7","6410","46.8","0","404.2","0","0.65","-0.49","35.381759","140.281676"
"","","","","10.8","10.8","6436","44.4","0","385.7","0","0.66","-0.49","35.381764","140.281689"
"","","","","10.9","10.9","6722","42","0","370.5","0","0.5","-0.54","35.381771","140.281701"
"","","","","11","11","6719","39.8","0","358.9","0","0.37","-0.57","35.381777","140.281712"
"","","","","11.1","11.1","6329","38.3","0","346.3","0","0.19","-0.56","35.381784","140.281722"
"","","","","11.2","11.2","6216","37.7","0","334.6","0","0.14","-0.55","35.381792","140.281731"
"","","","","11.3","11.3","6616","37.1","0","327.2","0","0.07","-0.66","35.381801","140.281737"
"","","","","11.4","11.4","6836","36.7","0","325.8","0","-0.03","-0.62","35.381809","140.281744"
"","","","","11.5","11.5","6672","36.5","0","332.3","0","-0.17","-0.66","35.381817","140.281749"
"","","","","11.6","11.6","6561","36.9","0","343.1","0","-0.33","-0.63","35.381826","140.281754"
"","","","","11.7","11.7","6487","37.7","0","360.3","0","-0.29","-0.68","35.381836","140.281756"
"","","","","11.8","11.8","6729","39.2","0","377.6","0","-0.25","-0.56","35.381846","140.281756"
"","","","","11.9","11.9","6722","40.2","0","389.2","0","-0.18","-0.6","35.381856","140.281754"
"","","","","12","12","7384","40.6","0","399.3","0","-0.21","-0.63","35.381866","140.281751"
"","","","","12.1","12.1","7024","41.5","0","406.6","0","-0.18","-0.65","35.381876","140.281747"
