Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11037,650,0,5697,1125,1002,14743,0,3.5381951906879306E7,1.4028190053100872E8,420
1,10849,660,0,5745,1111,981,14743,0,35381959,140281896,420
1,10881,672,0,5816,1116,988,15311,0,35381944,140281904,430
1,10857,677,0,5876,1108,977,15637,0,35381929,140281911,430
1,10770,688,0,5920,1119,984,16194,0,35381912,140281916,430
1,10897,694,0,5963,1108,992,16529,0,35381896,140281921,430
1,10940,700,0,5999,1108,991,17028,0,35381879,140281924,430
1,11098,701,0,6027,1120,991,17310,0,35381861,140281926,430
1,11301,703,0,6056,1115,982,17663,0,35381844,140281926,430
1,11452,709,0,6087,1122,980,18054,0,35381827,140281924,430
1,11721,715,0,6113,1133,998,18540,0,35381811,140281921,430
1,11492,723,0,6145,1137,998,18826,0,35381792,140281917,430
1,11691,719,0,6177,1123,996,19085,0,35381776,140281912,430
1,11465,713,0,6201,1130,985,19617,0,35381759,140281904,420
1,11808,722,0,6224,1107,985,19901,0,35381742,140281896,420
1,11609,727,0,6241,1100,991,20486,0,35381727,140281886,420
1,11966,729,0,6256,1092,982,20931,0,35381712,140281874,420
1,11698,735,0,6269,1084,983,21250,0,35381697,140281861,420
1,11897,741,0,6283,1071,980,21546,0,35381682,140281847,420
1,11874,748,0,6297,1067,981,21930,0,35381669,140281832,420
1,12045,755,0,6310,1054,975,22134,0,35381656,140281817,420
1,12121,762,0,6318,1049,981,22444,0,35381642,140281801,420
1,12148,772,0,6323,1045,979,22628,0,35381631,140281784,420
1,12224,779,0,6325,1040,982,22785,0,35381617,140281766,420
1,12330,784,0,6324,1034,979,22957,0,35381606,140281747,420
1,12427,793,0,6324,1023,982,23088,0,35381594,140281729,420
1,12531,800,0,6325,1021,979,23203,0,35381582,140281709,420
1,12623,805,0,6329,1018,998,23305,0,35381571,140281689,420
1,12733,813,0,6334,1015,1022,23394,0,35381559,140281669,420
1,12476,810,0,6342,1026,1050,23497,0,35381549,140281649,420
1,11848,789,0,6321,1036,1070,23543,0,35381537,140281629,420
1,11248,767,0,6239,1049,1070,23511,0,35381526,140281607,420
1,8963,740,0,6081,1060,1075,23586,0,35381514,140281587,420
1,9555,712,0,5874,1067,1059,23641,0,35381504,140281567,420
1,9803,690,0,5656,1073,1059,23706,0,35381494,140281547,420
1,9857,668,0,5403,1078,1056,23944,0,35381487,140281529,420
1,9201,648,0,5199,1084,1063,24065,0,35381479,140281509,420
1,9450,628,0,5049,1090,1077,24398,0,35381474,140281489,420
1,9329,604,0,4893,1093,1080,24664,0,35381467,140281471,420
1,8336,573,0,4761,1087,1075,24897,0,35381464,140281452,420
1,8250,544,0,4660,1091,1063,25364,0,35381461,140281432,420
1,7878,521,0,4550,1082,1051,25646,0,35381459,140281414,420
