Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10404,659,0,5326,1114,967,14499,0,3.538194915954811E7,1.4028189589291853E8,370
1,10515,671,0,5580,1114,987,15322,0,35381931,140281906,370
1,10515,671,0,5580,1114,987,15322,0,35381931,140281906,370
1,10847,680,0,5673,1130,987,15828,0,35381914,140281912,370
1,10972,684,0,5733,1133,998,16120,0,35381897,140281919,370
1,11066,684,0,5789,1114,1001,16561,0,35381881,140281922,370
1,11117,685,0,5840,1130,997,17049,0,35381864,140281926,370
1,11265,684,0,5879,1130,1000,17389,0,35381847,140281926,370
1,11295,683,0,5923,1117,1000,17389,0,35381847,140281926,370
1,11310,686,0,5964,1118,990,18402,0,35381814,140281922,380
1,11578,686,0,5996,1124,976,18889,0,35381797,140281917,370
1,11242,695,0,6030,1110,982,19048,0,35381781,140281914,370
1,11404,705,0,6060,1105,972,19653,0,35381764,140281906,380
1,11340,714,0,6083,1101,988,19653,0,35381764,140281906,380
1,11525,720,0,6110,1085,978,20412,0,35381732,140281889,370
1,11409,726,0,6136,1086,980,20867,0,35381717,140281877,370
1,11860,732,0,6153,1075,972,21119,0,35381702,140281866,370
1,11627,742,0,6171,1075,980,21438,0,35381689,140281852,370
1,11945,752,0,6185,1068,980,21742,0,35381674,140281837,370
1,11892,758,0,6192,1062,986,21993,0,35381661,140281822,370
1,11990,758,0,6195,1053,982,22171,0,35381647,140281807,370
1,12031,768,0,6194,1051,982,22414,0,35381634,140281791,370
1,12096,775,0,6193,1043,983,22544,0,35381621,140281774,370
1,12195,782,0,6190,1037,986,22544,0,35381621,140281774,370
1,12300,787,0,6189,1037,989,22952,0,35381597,140281737,370
1,12378,792,0,6193,1037,984,23042,0,35381584,140281719,370
1,12471,795,0,6202,1035,1000,23144,0,35381572,140281699,370
1,12578,802,0,6213,1026,1019,23238,0,35381561,140281679,370
1,12644,800,0,6227,1031,1047,23375,0,35381549,140281659,370
1,12442,785,0,6243,1033,1062,23441,0,35381539,140281639,370
1,11522,766,0,6225,1034,1069,23528,0,35381527,140281617,370
1,10801,741,0,6146,1042,1067,23629,0,35381517,140281597,370
1,8732,714,0,5989,1049,1059,23697,0,35381507,140281577,370
1,8555,693,0,5780,1056,1055,23720,0,35381497,140281559,370
1,10335,673,0,5567,1063,1060,23875,0,35381489,140281539,370
1,10226,653,0,5316,1071,1056,24029,0,35381481,140281521,370
1,9586,631,0,5108,1076,1060,24180,0,35381474,140281502,370
1,9466,611,0,4956,1076,1071,24426,0,35381467,140281482,370
1,9448,590,0,4796,1087,1071,24598,0,35381462,140281464,370
1,8371,560,0,4658,1086,1081,24953,0,35381459,140281446,370
1,8209,560,0,4557,1085,1067,25319,0,35381456,140281427,360
1,8056,503,0,4450,1079,1051,25729,0,35381454,140281411,360
1,7817,481,0,4355,1074,1047,26232,0,35381454,140281394,360
1,7533,465,0,4280,1074,1038,26232,0,35381454,140281394,360
1,7623,450,0,4197,1074,1034,27400,0,35381457,140281362,360
1,7451,435,0,4119,1080,1034,27951,0,35381461,140281349,360
1,7100,426,0,4051,1080,1007,28565,0,35381466,140281336,360
1,7411,426,0,3975,1079,1007,29059,0,35381469,140281322,360
1,7570,424,0,3955,1078,999,29794,0,35381476,140281312,360
1,7251,424,0,3996,1078,987,30494,0,35381482,140281302,360
1,7643,428,0,4102,1076,990,30494,0,35381482,140281302,360
1,7094,428,0,4257,1073,983,32157,0,35381499,140281286,360
1,7698,438,0,4411,1076,989,32157,0,35381499,140281286,360
1,7393,441,0,4563,1074,992,33375,0,35381519,140281276,360
1,7287,442,0,4670,1074,981,33969,0,35381529,140281271,360
1,7532,447,0,4738,1067,981,34723,0,35381541,140281271,360
1,7333,455,0,4800,1063,975,35443,0,35381551,140281271,360
1,7325,455,0,4853,1063,977,35995,0,35381562,140281272,360
1,7522,465,0,4892,1061,978,560,0,35381572,140281274,360
1,7743,472,0,4933,1061,978,1006,0,35381584,140281277,360
1,7798,478,0,4968,1063,978,1006,0,35381584,140281277,360
