Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11135,662,0,6384,1095,1000,13827,0,3.538197271990254E7,1.4028188992554247E8,380
1,11080,662,0,6406,1119,990,14189,0,35381962,140281899,380
1,11009,664,0,6438,1123,988,14327,0,35381949,140281911,380
1,11066,667,0,6485,1122,984,14693,0,35381934,140281921,370
1,11426,674,0,6537,1122,994,15126,0,35381919,140281929,370
1,11070,679,0,6580,1135,989,15557,0,35381904,140281936,370
1,11019,679,0,6622,1129,999,15955,0,35381887,140281941,370
1,11204,682,0,6656,1120,990,16512,0,35381871,140281944,380
1,11240,684,0,6679,1127,999,16926,0,35381854,140281947,380
1,11117,684,0,6705,1133,989,17321,0,35381837,140281947,380
1,11080,688,0,6729,1112,991,17718,0,35381821,140281947,380
1,11333,691,0,6748,1115,993,18330,0,35381804,140281944,380
1,11129,695,0,6771,1120,987,18767,0,35381787,140281939,380
1,11029,696,0,6789,1107,993,19015,0,35381771,140281934,380
1,11223,701,0,6799,1101,979,19516,0,35381754,140281927,380
1,11244,705,0,6808,1103,989,19994,0,35381739,140281919,380
1,11487,711,0,6819,1089,976,20244,0,35381724,140281909,380
1,11753,717,0,6829,1093,991,20703,0,35381709,140281897,370
1,11618,723,0,6843,1088,974,21015,0,35381694,140281886,380
1,11838,728,0,6857,1075,980,21286,0,35381679,140281872,370
1,11790,736,0,6868,1074,968,21640,0,35381666,140281857,360
1,11822,748,0,6879,1072,978,21901,0,35381652,140281842,360
1,12089,756,0,6888,1055,976,22114,0,35381641,140281827,360
1,12143,765,0,6893,1048,981,22453,0,35381627,140281811,360
1,12121,773,0,6899,1046,978,22633,0,35381614,140281792,360
1,12195,779,0,6904,1036,979,22760,0,35381602,140281774,350
1,12295,787,0,6909,1032,981,22986,0,35381591,140281756,350
1,12401,795,0,6917,1030,982,23138,0,35381579,140281737,350
1,12515,800,0,6927,1024,995,23224,0,35381566,140281717,350
1,12615,806,0,6933,1020,1014,23299,0,35381554,140281697,350
1,12719,807,0,6937,1019,1044,23379,0,35381542,140281677,350
1,12182,795,0,6931,1020,1061,23467,0,35381531,140281657,350
1,11538,774,0,6880,1026,1070,23555,0,35381521,140281636,350
1,8099,750,0,6745,1049,1065,23619,0,35381509,140281616,350
1,7581,724,0,6548,1061,1065,23617,0,35381497,140281596,350
1,10318,702,0,6342,1070,1059,23650,0,35381487,140281576,350
1,10082,680,0,6065,1086,1058,23732,0,35381477,140281557,350
1,10157,657,0,5811,1090,1053,23862,0,35381469,140281539,350
1,9256,639,0,5630,1085,1065,24055,0,35381461,140281519,350
1,9419,621,0,5450,1084,1081,24465,0,35381456,140281501,350
1,8895,594,0,5297,1088,1076,24744,0,35381451,140281482,350
1,7606,560,0,5187,1082,1071,25040,0,35381446,140281464,350
