Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10743,659,0,5729,1126,981,14616,0,3.538195355343876E7,1.4028190331075776E8,370
1,11017,666,0,5776,1118,993,14616,0,35381957,140281901,370
1,11076,670,0,5848,1115,989,15185,0,35381942,140281909,370
1,11227,673,0,5902,1119,991,15592,0,35381927,140281916,370
1,10993,675,0,5957,1120,984,16005,0,35381912,140281922,370
1,10932,680,0,6000,1113,978,16391,0,35381896,140281927,370
1,11082,686,0,6031,1109,981,16934,0,35381879,140281929,380
1,11166,696,0,6064,1131,990,17328,0,35381862,140281931,370
1,11231,703,0,6092,1126,997,17657,0,35381844,140281932,380
1,11206,702,0,6114,1128,988,18113,0,35381827,140281931,380
1,11743,703,0,6142,1127,987,18487,0,35381811,140281927,380
1,11454,710,0,6166,1127,974,18858,0,35381794,140281924,380
1,11463,715,0,6184,1101,991,19174,0,35381777,140281919,380
1,11542,723,0,6206,1106,985,19840,0,35381761,140281911,380
1,11605,728,0,6225,1095,993,20180,0,35381744,140281901,380
1,11522,727,0,6237,1086,977,20567,0,35381729,140281891,380
1,12074,734,0,6253,1086,981,20908,0,35381714,140281879,380
1,11746,744,0,6264,1080,976,21201,0,35381699,140281867,380
1,12195,749,0,6268,1063,982,21424,0,35381684,140281854,380
1,11966,757,0,6271,1063,977,21816,0,35381671,140281839,380
1,12082,766,0,6267,1059,985,22002,0,35381656,140281824,380
1,12108,771,0,6262,1051,982,22201,0,35381642,140281807,380
1,12229,778,0,6260,1049,982,22463,0,35381629,140281791,380
1,12317,784,0,6261,1049,981,22587,0,35381616,140281774,380
1,12406,791,0,6264,1043,979,22710,0,35381604,140281756,380
1,12484,798,0,6273,1038,980,22882,0,35381591,140281737,380
1,12589,806,0,6285,1036,984,23016,0,35381579,140281719,370
1,12695,814,0,6299,1034,1005,23148,0,35381567,140281699,370
1,12806,818,0,6312,1029,1032,23246,0,35381556,140281679,370
1,12631,812,0,6322,1030,1052,23352,0,35381544,140281659,370
1,12000,794,0,6307,1033,1069,23440,0,35381532,140281637,370
1,11380,773,0,6219,1038,1066,23499,0,35381521,140281617,370
1,9773,747,0,6062,1041,1072,23604,0,35381511,140281596,370
1,9478,722,0,5891,1045,1053,23671,0,35381501,140281576,370
1,10373,699,0,5656,1054,1060,23729,0,35381491,140281557,370
1,10378,680,0,5420,1073,1063,23862,0,35381482,140281537,370
1,9535,661,0,5250,1081,1090,23981,0,35381474,140281519,370
1,9081,633,0,5084,1081,1089,24216,0,35381467,140281499,370
1,8748,599,0,4940,1088,1082,24353,0,35381461,140281481,370
1,8466,566,0,4833,1084,1074,24512,0,35381454,140281464,370
1,8145,542,0,4728,1069,1067,24885,0,35381451,140281446,370
1,7592,515,0,4635,1057,1058,25533,0,35381449,140281427,370
1,7439,490,0,4561,1063,1062,26101,0,35381449,140281411,370
1,7376,474,0,4483,1061,1052,26316,0,35381447,140281394,370
1,7159,450,0,4405,1073,1050,26810,0,35381449,140281379,370
1,7597,429,0,4336,1078,1021,27305,0,35381451,140281364,370
1,7676,419,0,4296,1083,1014,27716,0,35381452,140281351,370
1,7814,417,0,4326,1089,1000,28143,0,35381456,140281339,370
1,7525,419,0,4398,1089,991,28769,0,35381461,140281326,370
1,7647,421,0,4528,1081,986,29395,0,35381466,140281316,370
1,7521,426,0,4694,1081,982,30570,0,35381476,140281306,370
1,7503,431,0,4820,1078,986,31303,0,35381484,140281296,370
1,7499,438,0,4928,1076,977,31977,0,35381494,140281289,370
1,7305,443,0,5000,1074,983,32849,0,35381504,140281282,380
1,7531,451,0,5042,1071,975,33446,0,35381514,140281277,380
1,7507,459,0,5078,1071,989,34167,0,35381524,140281274,380
1,7623,465,0,5108,1072,981,34800,0,35381536,140281272,380
1,7757,471,0,5131,1062,981,35290,0,35381547,140281271,380
1,7953,475,0,5159,1063,976,35962,0,35381559,140281272,380
1,7997,485,0,5183,1065,984,404,0,35381571,140281274,380
1,7967,494,0,5202,1064,983,937,0,35381582,140281277,380
1,8124,497,0,5222,1066,988,1462,0,35381594,140281282,380
1,8195,503,0,5241,1074,978,1924,0,35381604,140281287,380
1,8440,509,0,5256,1078,984,2188,0,35381616,140281294,380
1,8467,515,0,5278,1078,980,2600,0,35381627,140281301,380
1,8634,523,0,5302,1086,987,3108,0,35381637,140281311,380
1,8757,528,0,5328,1088,986,3549,0,35381647,140281321,380
1,8886,533,0,5366,1087,978,4012,0,35381657,140281332,380
1,9056,538,0,5409,1083,981,4485,0,35381666,140281344,380
1,8975,548,0,5449,1077,975,4964,0,35381674,140281357,380
1,9034,555,0,5497,1064,982,5436,0,35381681,140281371,380
1,9132,562,0,5540,1051,973,6034,0,35381687,140281387,380
1,9165,571,0,5573,1040,976,6487,0,35381692,140281402,380
1,9243,580,0,5613,1030,976,6891,0,35381696,140281419,380
1,9350,589,0,5649,1021,977,7218,0,35381701,140281436,380
