Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11142,661,0,5696,1128,1010,13842,0,3.538195972712215E7,1.4028190756540713E8,330
1,10921,654,0,5771,1145,1001,13842,0,35381966,140281902,330
1,11711,652,0,5875,1125,995,14123,0,35381952,140281914,330
1,11204,655,0,5958,1136,988,14846,0,35381937,140281921,330
1,11029,656,0,6017,1131,979,15155,0,35381922,140281929,330
1,11150,662,0,6071,1128,979,15720,0,35381906,140281934,330
1,11259,672,0,6110,1116,988,16268,0,35381889,140281939,330
1,11183,678,0,6138,1117,997,16866,0,35381872,140281941,330
1,11303,679,0,6165,1119,999,17202,0,35381856,140281942,330
1,11284,681,0,6189,1117,999,17690,0,35381839,140281942,330
1,11547,681,0,6211,1107,999,18120,0,35381822,140281941,330
1,11350,680,0,6239,1106,997,18582,0,35381806,140281937,330
1,11078,682,0,6267,1109,993,18933,0,35381789,140281932,330
1,11102,683,0,6286,1092,987,19269,0,35381772,140281927,330
1,11217,686,0,6302,1096,978,19794,0,35381757,140281919,330
1,11527,693,0,6314,1095,978,20173,0,35381741,140281911,330
1,11485,702,0,6324,1094,969,20460,0,35381726,140281901,330
1,11623,710,0,6336,1089,969,20794,0,35381711,140281889,320
1,11567,721,0,6352,1085,962,21164,0,35381696,140281877,320
1,12002,735,0,6369,1072,977,21379,0,35381682,140281864,320
1,11867,746,0,6388,1068,978,21791,0,35381669,140281849,320
1,12153,754,0,6400,1061,985,22013,0,35381654,140281832,320
1,12055,759,0,6404,1054,982,22292,0,35381642,140281816,320
1,12082,766,0,6403,1051,982,22542,0,35381629,140281799,320
1,12190,771,0,6397,1044,981,22673,0,35381616,140281781,320
1,12290,778,0,6393,1042,980,22850,0,35381604,140281762,320
1,12363,786,0,6398,1031,979,22990,0,35381592,140281744,320
1,12476,792,0,6409,1024,983,23152,0,35381581,140281726,320
1,12575,801,0,6423,1022,999,23296,0,35381569,140281706,320
1,12698,806,0,6441,1024,1028,23379,0,35381557,140281686,320
1,12505,802,0,6456,1024,1050,23443,0,35381546,140281666,320
1,11598,786,0,6440,1032,1069,23546,0,35381536,140281644,320
1,10172,764,0,6345,1042,1061,23566,0,35381524,140281624,320
1,8983,738,0,6181,1049,1061,23617,0,35381514,140281604,320
