Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11935,664,0,5656,1104,995,14349,0,35381964,140281894,380
1,10944,665,0,5731,1122,993,14349,0,35381964,140281894,380
1,11536,666,0,5806,1127,989,14570,0,35381949,140281906,380
1,10995,670,0,5873,1130,989,14943,0,35381936,140281916,380
1,11156,674,0,5923,1131,996,15273,0,35381921,140281924,380
1,11173,678,0,5960,1130,992,15737,0,35381904,140281931,370
1,10982,678,0,5992,1120,996,16262,0,35381887,140281936,380
1,11061,680,0,6020,1114,980,16783,0,35381871,140281939,380
1,11244,684,0,6045,1121,987,17225,0,35381854,140281941,380
1,11148,690,0,6073,1114,979,17595,0,35381837,140281941,380
1,11217,698,0,6103,1114,977,18066,0,35381821,140281939,380
1,11310,703,0,6129,1115,985,18554,0,35381804,140281936,380
1,11307,714,0,6160,1119,980,18873,0,35381787,140281932,380
1,11503,718,0,6192,1109,988,19190,0,35381769,140281927,380
1,11545,721,0,6217,1120,977,19654,0,35381752,140281919,380
1,11864,731,0,6239,1105,985,19961,0,35381736,140281911,370
1,11698,737,0,6259,1109,989,20417,0,35381721,140281901,370
1,11985,742,0,6272,1098,994,20723,0,35381704,140281891,370
1,11808,745,0,6283,1092,985,21068,0,35381689,140281877,370
1,12096,746,0,6292,1074,979,21343,0,35381674,140281864,370
1,12024,753,0,6298,1077,974,21790,0,35381661,140281849,370
1,12272,764,0,6303,1063,985,21992,0,35381647,140281834,370
1,12187,771,0,6302,1061,982,22338,0,35381634,140281817,370
1,12269,775,0,6300,1056,984,22517,0,35381621,140281801,360
1,12332,782,0,6297,1049,977,22687,0,35381609,140281782,360
1,12430,789,0,6294,1040,981,22850,0,35381596,140281764,360
1,12523,796,0,6291,1030,981,23076,0,35381584,140281746,360
1,12663,804,0,6294,1020,989,23208,0,35381572,140281726,360
1,12755,809,0,6299,1015,1002,23347,0,35381561,140281706,360
1,12806,812,0,6301,1012,1017,23442,0,35381551,140281686,360
1,12612,809,0,6302,1014,1038,23502,0,35381539,140281664,360
1,12190,799,0,6271,1027,1060,23602,0,35381527,140281644,360
1,10368,782,0,6182,1044,1069,23596,0,35381516,140281622,360
1,9203,756,0,6013,1055,1087,23608,0,35381506,140281602,360
1,10528,729,0,5794,1065,1074,23645,0,35381494,140281582,350
1,9946,698,0,5569,1070,1067,23664,0,35381484,140281562,350
1,10279,673,0,5310,1075,1058,23813,0,35381476,140281542,350
1,9404,659,0,5096,1073,1071,24020,0,35381467,140281524,350
1,9373,636,0,4943,1086,1084,24329,0,35381462,140281504,350
1,9269,606,0,4797,1088,1083,24579,0,35381457,140281486,360
1,8474,576,0,4683,1091,1092,24804,0,35381452,140281467,350
1,7747,547,0,4605,1081,1081,25111,0,35381447,140281449,350
1,7073,513,0,4527,1083,1069,25536,0,35381444,140281432,350
1,7303,486,0,4458,1074,1053,25947,0,35381444,140281414,350
1,7522,472,0,4401,1070,1054,26698,0,35381444,140281397,350
1,7265,453,0,4330,1068,1044,27142,0,35381446,140281382,350
1,7084,431,0,4254,1076,1026,27788,0,35381449,140281369,350
1,7419,422,0,4193,1073,1014,28101,0,35381452,140281354,350
1,7635,420,0,4171,1075,1007,28833,0,35381456,140281342,350
1,7405,414,0,4221,1078,1003,29624,0,35381462,140281331,350
1,7366,412,0,4313,1079,984,30061,0,35381467,140281321,350
1,7446,414,0,4466,1077,978,30819,0,35381476,140281311,350
1,7370,422,0,4640,1077,972,31608,0,35381484,140281302,350
1,7496,433,0,4761,1073,976,32260,0,35381492,140281294,350
1,7439,442,0,4864,1076,986,33174,0,35381502,140281289,360
1,7449,450,0,4937,1074,988,33745,0,35381512,140281286,360
1,7629,454,0,4984,1077,989,34456,0,35381524,140281282,360
1,7694,456,0,5031,1073,979,35059,0,35381534,140281281,360
1,7814,463,0,5069,1070,979,35577,0,35381546,140281281,360
1,7859,471,0,5096,1064,974,197,0,35381557,140281282,360
1,7885,479,0,5122,1059,982,822,0,35381569,140281286,350
1,7905,488,0,5146,1054,981,1381,0,35381579,140281289,350
1,8034,495,0,5166,1059,984,1999,0,35381591,140281296,350
1,8135,499,0,5189,1062,977,2316,0,35381602,140281301,350
1,8367,507,0,5213,1068,981,2761,0,35381612,140281309,350
1,8598,516,0,5235,1073,979,3080,0,35381622,140281317,350
1,8515,522,0,5265,1077,982,3398,0,35381632,140281326,350
1,8784,529,0,5299,1076,975,3789,0,35381642,140281337,350
1,8940,538,0,5334,1074,977,4212,0,35381652,140281347,350
1,8884,545,0,5376,1068,977,4688,0,35381661,140281361,360
1,8944,555,0,5419,1064,978,5156,0,35381669,140281374,360
1,9082,563,0,5456,1058,979,5567,0,35381676,140281387,360
1,9174,570,0,5497,1055,973,6004,0,35381682,140281402,360
1,9337,578,0,5536,1049,975,6348,0,35381689,140281417,360
1,9422,589,0,5573,1041,979,6687,0,35381694,140281434,360
1,9514,598,0,5617,1033,981,6953,0,35381697,140281451,360
1,9620,603,0,5664,1024,976,7221,0,35381702,140281467,360
1,9745,610,0,5709,1013,973,7456,0,35381706,140281486,360
